,VA,VB,Fre,Temp,temp_2m,shortwave_radiation,wind_speed_10m,pressure_msl,cloud_cover,Generacion_Solar
2026-05-03 23:00:00,127.0823943661972,127.11394366197185,59.98225352112676,19.340243902439024,8.5,0.0,6.7,697.2,100,0.0
2026-05-04 00:00:00,127.78592105263158,127.81776315789472,59.990526315789474,19.3,8.5,0.0,7.0,696.8,100,0.0
2026-05-04 01:00:00,127.93625,128.02,59.97625,19.2675,8.4,0.0,5.4,696.6,100,0.0
2026-05-04 02:00:00,128.09533333333331,128.11666666666667,59.99653333333333,19.2,8.1,0.0,8.5,695.7,100,0.0
2026-05-04 03:00:00,128.6726923076923,128.68602564102565,59.9974358974359,19.150649350649356,7.5,0.0,8.1,695.0,100,0.0
2026-05-04 04:00:00,128.4669512195122,128.4998780487805,59.98865853658536,19.1,7.2,0.0,7.3,694.5,100,0.0
2026-05-04 05:00:00,127.3984,127.42573333333334,59.9968,19.1,7.1,0.0,7.0,694.8,100,0.0
2026-05-04 06:00:00,126.00693333333334,126.04026666666668,59.9884,19.041558441558443,7.4,0.0,6.5,695.4,100,0.0
2026-05-04 07:00:00,125.6325641025641,125.64794871794872,59.99179487179487,19.16290322580645,7.9,13.0,6.0,696.2,100,0.0026
2026-05-04 08:00:00,122.8241095890411,122.8509589041096,59.99150684931507,19.53043478260869,9.3,166.0,8.2,697.6,100,0.0332
2026-05-04 09:00:00,124.70459459459458,124.73972972972972,59.98932432432432,19.88452380952381,10.1,237.0,8.8,698.4,100,0.047400000000000005
2026-05-04 10:00:00,122.85144927536231,122.88681159420292,59.993478260869566,19.94712643678161,10.6,287.0,11.6,698.8,100,0.05740000000000001
2026-05-04 11:00:00,123.53721518987342,123.58,59.99556962025316,20.47586206896552,11.4,444.0,12.8,699.1,100,0.08880000000000002
2026-05-04 12:00:00,124.39355263157894,124.41763157894736,59.99013157894737,20.50405405405405,11.5,462.0,14.8,698.8,100,0.09240000000000001
2026-05-04 13:00:00,124.69102564102565,124.72192307692308,59.98576923076924,20.36172839506173,11.2,310.0,15.2,698.4,100,0.062
2026-05-04 14:00:00,124.70532467532468,124.71623376623376,59.99116883116883,20.32409638554217,11.4,449.0,16.1,697.8,99,0.0898
2026-05-04 15:00:00,124.29194805194804,124.31311688311688,59.99103896103897,20.23048780487805,11.6,497.0,15.6,697.4,95,0.0994
2026-05-04 16:00:00,124.6775641025641,124.70166666666668,59.991410256410255,20.28024691358025,11.0,322.0,13.2,696.7,100,0.0644
2026-05-04 17:00:00,125.11329113924052,125.15696202531645,59.99088607594936,20.21538461538461,10.2,172.0,10.3,696.3,100,0.0344
2026-05-04 18:00:00,124.966625,125.0035,59.988625,19.9275,8.8,57.0,8.8,696.0,99,0.0114
2026-05-04 19:00:00,125.1155072463768,125.14753623188406,59.99144927536232,19.713414634146343,8.9,1.0,5.4,696.2,100,0.0002
2026-05-04 20:00:00,125.50933333333334,125.51133333333334,59.9884,19.72873563218391,8.0,0.0,8.4,696.5,100,0.0
